course,model_name,rmse_mean,mae_mean,mape_mean
aiare 1,hgb_max_iter=400_learning_rate=0.01_max_depth=3_min_samples_leaf=5,115.90963109149193,87.88553858292182,180.19333427699823
aiare 1,gbr_n_estimators=300_learning_rate=0.01_max_depth=4_subsample=0.8,116.69649657479837,107.67745686313097,249.8692468994571
aiare 1,random_forest_n_estimators=300_max_depth=None_min_samples_leaf=1,116.70552999902559,100.26507936507937,172.85307198563785
aiare 1,random_forest_n_estimators=300_max_depth=10_min_samples_leaf=1,116.70552999902559,100.26507936507937,172.85307198563785
aiare 1,random_forest_n_estimators=300_max_depth=20_min_samples_leaf=1,116.70552999902559,100.26507936507937,172.85307198563785
aiare 1,hgb_max_iter=400_learning_rate=0.05_max_depth=6_min_samples_leaf=5,116.73958508819719,95.40361532631489,108.52174533732762
aiare 1,bagging_n_estimators=50_max_samples=1.0_max_features=0.9,117.01726033840283,102.82857142857145,129.2260949378497
aiare 1,hgb_max_iter=400_learning_rate=0.01_max_depth=6_min_samples_leaf=5,117.26973385630829,89.23846894540888,181.00529690662515
aiare 1,hgb_max_iter=400_learning_rate=0.01_max_depth=4_min_samples_leaf=5,117.35211154922646,89.47560458564196,181.5886238755369
aiare 1,bagging_n_estimators=50_max_samples=0.9_max_features=1.0,117.71062472315126,97.67999999999999,121.39237435386947
aiare 1,bagging_n_estimators=25_max_samples=0.9_max_features=1.0,118.43614108889388,97.82095238095238,146.32735733243013
aiare 1,gbr_n_estimators=200_learning_rate=0.2_max_depth=5_subsample=0.8,119.01954751634744,105.61909027804134,72.34667370618266
aiare 1,gbr_n_estimators=300_learning_rate=0.2_max_depth=5_subsample=0.8,119.01954751847954,105.61909027932964,72.34667370489373
aiare 1,gbr_n_estimators=100_learning_rate=0.2_max_depth=5_subsample=0.8,119.01959236124556,105.61910127727297,72.34703253248772
aiare 1,huber_epsilon=2.0_alpha=0.01,119.6597728243001,109.73877960935252,444.45736354951566
aiare 1,bagging_n_estimators=25_max_samples=1.0_max_features=0.9,124.21438004112032,109.23428571428569,192.3973032643684
aiare 1,huber_epsilon=1.5_alpha=0.01,125.4668741623412,113.55593544809759,441.8005289059552
aiare 1,bagging_n_estimators=50_max_samples=0.9_max_features=0.9,127.50321215261218,109.95238095238095,154.19508583619543
aiare 1,bagging_n_estimators=50_max_samples=1.0_max_features=1.0,130.89958163617658,114.39142857142859,114.07404025087142
aiare 1,gbr_n_estimators=300_learning_rate=0.01_max_depth=3_subsample=1.0,131.59960858404799,110.62052827932366,196.5967791294245
aiare 1,gbr_n_estimators=300_learning_rate=0.05_max_depth=4_subsample=1.0,133.05121562977442,106.79010887483285,12.918197564879128
aiare 1,gbr_n_estimators=200_learning_rate=0.05_max_depth=4_subsample=1.0,133.0535771069398,106.7941072561633,12.903887766217055
aiare 1,gbr_n_estimators=100_learning_rate=0.05_max_depth=4_subsample=1.0,134.96764533645685,108.92620908544195,28.294046730056884
aiare 1,bagging_n_estimators=25_max_samples=1.0_max_features=1.0,137.8472824377831,106.99619047619049,155.16274940185596
aiare 1,gbr_n_estimators=100_learning_rate=0.2_max_depth=4_subsample=1.0,139.05509417739174,110.72124957726462,12.68198056812345
aiare 1,gbr_n_estimators=200_learning_rate=0.2_max_depth=4_subsample=1.0,139.0550943466911,110.72125059117164,12.681981039604258
aiare 1,gbr_n_estimators=300_learning_rate=0.2_max_depth=4_subsample=1.0,139.0550943466911,110.72125059117164,12.681981039604276
aiare 1,gbr_n_estimators=200_learning_rate=0.05_max_depth=6_subsample=1.0,141.05321946479464,113.02873855459393,15.097055256214523
aiare 1,gbr_n_estimators=300_learning_rate=0.05_max_depth=6_subsample=1.0,141.0553730212964,113.03600899686317,15.126148375684542
aiare 1,gbr_n_estimators=100_learning_rate=0.05_max_depth=6_subsample=1.0,142.2511859475164,114.49173804888639,29.58015540625516
aiare 1,gbr_n_estimators=100_learning_rate=0.2_max_depth=6_subsample=0.8,142.4563484955964,118.10791154587785,78.17686615324978
aiare 1,gbr_n_estimators=300_learning_rate=0.2_max_depth=6_subsample=0.8,142.4563658535267,118.10792273183043,78.17720717672678
aiare 1,gbr_n_estimators=200_learning_rate=0.2_max_depth=6_subsample=0.8,142.45636585364213,118.10792273187771,78.17720717766592
